iter	Passed	Remaining
0	119	119837
1	236	118230
2	344	114355
3	458	114075
4	567	113014
5	679	112574
6	785	111431
7	893	110748
8	992	109331
9	1099	108893
10	1211	108923
11	1333	109785
12	1447	109931
13	1558	109779
14	1683	110562
15	1797	110544
16	1911	110546
17	2028	110650
18	2127	109858
19	2232	109368
20	2337	108982
21	2440	108508
22	2552	108424
23	2670	108593
24	2788	108743
25	2899	108627
26	3020	108859
27	3132	108746
28	3241	108543
29	3351	108376
30	3466	108364
31	3572	108071
32	3685	107985
33	3792	107747
34	3903	107636
35	4020	107648
36	4134	107611
37	4241	107373
38	4354	107306
39	4474	107396
40	4586	107269
41	4684	106847
42	4788	106571
43	4894	106348
44	5005	106225
45	5113	106050
46	5223	105907
47	5338	105870
48	5452	105825
49	5563	105715
50	5672	105547
51	5792	105608
52	5905	105511
53	6027	105592
54	6134	105394
55	6261	105550
56	6389	105700
57	6515	105821
58	6627	105704
59	6750	105761
60	6864	105664
61	6981	105621
62	7091	105471
63	7193	105205
64	7292	104898
65	7405	104805
66	7512	104608
67	7612	104340
68	7720	104177
69	7837	104122
70	7943	103939
71	8059	103882
72	8177	103838
73	8294	103799
74	8413	103770
75	8519	103573
76	8624	103386
77	8723	103114
78	8838	103039
79	8949	102917
80	9057	102766
81	9162	102572
82	9271	102433
83	9380	102292
84	9493	102192
85	9606	102094
86	9716	101963
87	9824	101819
88	9935	101701
89	10054	101657
90	10164	101530
91	10272	101383
92	10393	101362
93	10502	101228
94	10618	101152
95	10733	101075
96	10844	100957
97	10963	100907
98	11081	100855
99	11176	100586
100	11281	100414
101	11396	100332
102	11517	100300
103	11635	100246
104	11749	100153
105	11863	100059
106	11982	100003
107	12082	99794
108	12190	99645
109	12319	99672
110	12442	99652
111	12559	99579
112	12671	99462
113	12782	99343
114	12880	99125
115	13005	99109
116	13114	98971
117	13200	98669
118	13305	98504
119	13414	98370
120	13521	98223
121	13637	98148
122	13755	98077
123	13868	97971
124	13986	97904
125	14084	97698
126	14184	97504
127	14295	97391
128	14414	97323
129	14526	97216
130	14649	97179
131	14761	97066
132	14867	96921
133	14986	96853
134	15090	96690
135	15202	96579
136	15314	96467
137	15430	96386
138	15531	96208
139	15635	96049
140	15755	95983
141	15894	96036
142	16032	96084
143	16159	96057
144	16275	95970
145	16408	95980
146	16539	95972
147	16656	95888
148	16766	95760
149	16878	95642
150	16999	95580
151	17102	95413
152	17209	95273
153	17327	95190
154	17443	95097
155	17558	94997
156	17669	94873
157	17780	94752
158	17908	94726
159	18016	94586
160	18129	94473
161	18238	94342
162	18356	94259
163	18461	94108
164	18581	94034
165	18688	93892
166	18798	93765
167	18915	93675
168	19027	93561
169	19118	93342
170	19234	93248
171	19343	93116
172	19448	92972
173	19558	92844
174	19677	92767
175	19832	92850
176	19937	92702
177	20041	92552
178	20154	92440
179	20273	92358
180	20384	92235
181	20502	92147
182	20616	92041
183	20722	91899
184	20845	91831
185	20971	91777
186	21087	91681
187	21223	91668
188	21320	91486
189	21446	91429
190	21551	91282
191	21654	91128
192	21757	90973
193	21862	90832
194	21974	90714
195	22084	90592
196	22201	90495
197	22312	90375
198	22423	90259
199	22536	90145
200	22642	90007
201	22765	89934
202	22871	89797
203	22992	89716
204	23105	89605
205	23218	89491
206	23329	89374
207	23438	89246
208	23542	89100
209	23634	88911
210	23745	88790
211	23853	88663
212	23960	88531
213	24071	88410
214	24171	88253
215	24280	88130
216	24412	88086
217	24539	88027
218	24677	88004
219	24801	87932
220	24930	87878
221	25036	87741
222	25145	87615
223	25251	87479
224	25366	87375
225	25496	87320
226	25603	87187
227	25730	87121
228	25862	87073
229	25982	86984
230	26100	86887
231	26205	86748
232	26325	86658
233	26441	86555
234	26558	86455
235	26663	86316
236	26777	86206
237	26883	86071
238	26994	85954
239	27105	85834
240	27217	85718
241	27324	85585
242	27437	85473
243	27559	85390
244	27689	85327
245	27793	85187
246	27916	85106
247	28027	84985
248	28145	84889
249	28260	84782
250	28372	84665
251	28484	84548
252	28588	84409
253	28707	84312
254	28821	84204
255	28925	84065
256	29040	83956
257	29158	83858
258	29270	83742
259	29386	83637
260	29513	83566
261	29627	83455
262	29738	83336
263	29867	83267
264	29995	83195
265	30126	83132
266	30250	83048
267	30362	82930
268	30478	82823
269	30600	82733
270	30724	82651
271	30843	82552
272	30975	82487
273	31084	82361
274	31194	82240
275	31297	82098
276	31411	81986
277	31509	81832
278	31611	81690
279	31714	81551
280	31817	81412
281	31935	81310
282	32040	81178
283	32137	81023
284	32245	80895
285	32342	80744
286	32460	80641
287	32562	80502
288	32662	80357
289	32775	80244
290	32876	80101
291	32979	79964
292	33079	79820
293	33187	79694
294	33303	79589
295	33412	79468
296	33503	79304
297	33597	79145
298	33703	79017
299	33801	78869
300	33886	78693
301	34003	78590
302	34107	78459
303	34218	78342
304	34320	78206
305	34431	78088
306	34543	77975
307	34647	77845
308	34746	77700
309	34858	77588
310	34965	77463
311	35071	77336
312	35184	77226
313	35301	77123
314	35416	77016
315	35534	76916
316	35657	76826
317	35774	76723
318	35898	76636
319	36010	76522
320	36118	76400
321	36229	76284
322	36331	76150
323	36445	76040
324	36515	75840
325	36632	75737
326	36740	75615
327	36844	75486
328	36951	75362
329	37046	75215
330	37156	75097
331	37262	74973
332	37373	74858
333	37476	74728
334	37586	74611
335	37698	74499
336	37809	74384
337	37915	74260
338	38036	74166
339	38146	74048
340	38256	73932
341	38367	73817
342	38481	73710
343	38602	73613
344	38717	73506
345	38835	73405
346	38962	73321
347	39072	73205
348	39186	73096
349	39319	73021
350	39453	72949
351	39574	72852
352	39711	72786
353	39847	72715
354	39953	72592
355	40080	72505
356	40212	72426
357	40333	72329
358	40460	72243
359	40593	72165
360	40695	72034
361	40815	71934
362	40955	71869
363	41079	71775
364	41175	71633
365	41279	71506
366	41415	71433
367	41580	71410
368	41696	71302
369	41796	71167
370	41921	71074
371	42032	70958
372	42163	70874
373	42298	70799
374	42432	70720
375	42538	70596
376	42663	70501
377	42768	70376
378	42882	70263
379	42971	70110
380	43084	69998
381	43204	69896
382	43310	69771
383	43421	69655
384	43526	69529
385	43637	69413
386	43737	69278
387	43852	69169
388	43963	69053
389	44066	68924
390	44171	68799
391	44274	68670
392	44388	68559
393	44495	68436
394	44600	68312
395	44702	68182
396	44809	68060
397	44922	67948
398	45031	67829
399	45150	67725
400	45273	67628
401	45387	67516
402	45510	67419
403	45613	67291
404	45736	67193
405	45842	67069
406	45956	66959
407	46057	66828
408	46171	66716
409	46275	66592
410	46387	66478
411	46502	66367
412	46609	66246
413	46719	66130
414	46837	66024
415	46955	65917
416	47068	65806
417	47187	65701
418	47330	65630
419	47465	65547
420	47586	65445
421	47714	65352
422	47838	65254
423	47966	65161
424	48080	65050
425	48184	64924
