iter	RMSE
0	5.908705819
1	5.797433169
2	5.700860974
3	5.622687195
4	5.552911558
5	5.494748148
6	5.444597643
7	5.398720539
8	5.361971537
9	5.328886734
10	5.299490409
11	5.275154109
12	5.249941936
13	5.231466206
14	5.215025547
15	5.197725481
16	5.183152853
17	5.169051266
18	5.157038515
19	5.145040845
20	5.133520932
21	5.125177385
22	5.114244151
23	5.105877283
24	5.099607978
25	5.09271721
26	5.087392977
27	5.081843063
28	5.076254301
29	5.070053041
30	5.064439096
31	5.059300566
32	5.055294204
33	5.051472838
34	5.045337815
35	5.04049042
36	5.035437907
37	5.031468526
38	5.027479531
39	5.023513672
40	5.019434787
41	5.016699964
42	5.012875232
43	5.010018166
44	5.0055508
45	5.000709955
46	4.997269982
47	4.993737188
48	4.990664139
49	4.988776472
50	4.985426416
51	4.981770111
52	4.979668972
53	4.977985531
54	4.974447782
55	4.97168087
56	4.96906711
57	4.966524224
58	4.962756019
59	4.959140861
60	4.956740664
61	4.95347722
62	4.950899488
63	4.94791273
64	4.946527866
65	4.944490035
66	4.94232545
67	4.940241931
68	4.937473795
69	4.935255027
70	4.934305838
71	4.932741788
72	4.929730819
73	4.928223919
74	4.925966976
75	4.924262452
76	4.922265469
77	4.920151813
78	4.91781859
79	4.915761111
80	4.913826842
81	4.91285465
82	4.911537055
83	4.909563627
84	4.906647375
85	4.905671575
86	4.904480909
87	4.902359571
88	4.900857531
89	4.898338955
90	4.896410256
91	4.894149041
92	4.891716875
93	4.889903033
94	4.88815185
95	4.886635366
96	4.88538315
97	4.884123496
98	4.882465777
99	4.881121897
100	4.879146488
101	4.877585751
102	4.875736248
103	4.874715961
104	4.872439437
105	4.870310341
106	4.868884536
107	4.867045892
108	4.865080839
109	4.863180741
110	4.861798268
111	4.859813376
112	4.858096398
113	4.856493909
114	4.855395284
115	4.853964815
116	4.852369147
117	4.851287587
118	4.849639522
119	4.848414417
120	4.845634891
121	4.843632201
122	4.841735578
123	4.840089844
124	4.838316112
125	4.836602783
126	4.835496257
127	4.833883034
128	4.832333111
129	4.830388337
130	4.829054074
131	4.827781039
132	4.826106972
133	4.824743929
134	4.823384473
135	4.822300269
136	4.821080923
137	4.819622166
138	4.818165565
139	4.81709114
140	4.815778564
141	4.814722708
142	4.813273596
143	4.811226725
144	4.810308112
145	4.809080356
146	4.808164313
147	4.806718174
148	4.805510239
149	4.804348994
150	4.803456725
151	4.802241908
152	4.801536668
153	4.800511454
154	4.799946817
155	4.798600068
156	4.797331805
157	4.796666996
158	4.795740468
159	4.795647029
160	4.794997455
161	4.793433456
