iter	Passed	Remaining
0	137	137085
1	253	126713
2	373	124142
3	495	123324
4	599	119312
5	694	115035
6	783	111206
7	886	109923
8	988	108832
9	1081	107095
10	1178	106002
11	1284	105778
12	1375	104463
13	1492	105112
14	1606	105470
15	1714	105419
16	1816	105063
17	1920	104790
18	2033	105013
19	2142	104969
20	2251	104954
21	2350	104468
22	2483	105486
23	2590	105365
24	2683	104666
25	2795	104740
26	2912	104945
27	3023	104952
28	3134	104964
29	3250	105101
30	3358	104976
31	3463	104776
32	3583	105003
33	3695	104989
34	3797	104710
35	3903	104514
36	4019	104610
37	4135	104702
38	4261	105002
39	4392	105417
40	4510	105498
41	4629	105589
42	4753	105785
43	4849	105368
44	4961	105285
45	5063	105011
46	5166	104760
47	5281	104753
48	5385	104531
49	5487	104266
50	5585	103943
51	5698	103879
52	5800	103641
53	5903	103424
54	6014	103335
55	6124	103243
56	6231	103100
57	6335	102903
58	6447	102834
59	6545	102550
60	6646	102314
61	6755	102208
62	6865	102113
63	6978	102056
64	7080	101855
65	7192	101786
66	7298	101634
67	7400	101436
68	7504	101255
69	7615	101176
70	7727	101107
71	7836	101007
72	7946	100915
73	8059	100850
74	8169	100758
75	8283	100715
76	8379	100440
77	8507	100559
78	8602	100284
79	8721	100298
80	8848	100388
81	8972	100443
82	9094	100475
83	9222	100566
84	9304	100163
85	9413	100041
86	9548	100208
87	9673	100250
88	9778	100093
89	9883	99936
90	10015	100047
91	10135	100035
92	10246	99929
93	10363	99887
94	10483	99872
95	10574	99577
96	10683	99455
97	10807	99475
98	10906	99263
99	11012	99108
100	11119	98974
101	11229	98859
102	11342	98781
103	11454	98681
104	11564	98570
105	11662	98360
106	11768	98218
107	11884	98156
108	11995	98055
109	12133	98168
110	12260	98192
111	12392	98254
112	12522	98297
113	12653	98341
114	12779	98342
115	12906	98354
116	13037	98394
117	13156	98338
118	13272	98263
119	13372	98062
120	13486	97973
121	13595	97841
122	13713	97780
123	13847	97826
124	13989	97925
125	14107	97856
126	14223	97769
127	14342	97705
128	14463	97656
129	14593	97662
130	14722	97662
131	14846	97628
132	14955	97490
133	15058	97321
134	15174	97227
135	15292	97153
136	15396	96987
137	15499	96813
138	15606	96668
139	15735	96659
140	15843	96522
141	15951	96380
142	16071	96317
143	16182	96195
144	16293	96073
145	16422	96061
146	16534	95945
147	16652	95865
148	16759	95719
149	16868	95588
150	16980	95471
151	17094	95369
152	17206	95254
153	17320	95152
154	17419	94966
155	17528	94831
156	17633	94683
157	17743	94555
158	17853	94434
159	17902	93988
160	17987	93737
161	18094	93601
162	18206	93489
163	18319	93382
164	18431	93276
165	18540	93150
166	18650	93029
167	18757	92892
168	18886	92868
169	19002	92775
170	19126	92724
171	19249	92667
172	19366	92578
173	19496	92550
174	19611	92453
175	19717	92314
176	19827	92191
177	19939	92081
178	20049	91960
179	20168	91880
180	20274	91740
181	20377	91588
182	20485	91458
183	20572	91233
184	20679	91101
185	20786	90968
186	20900	90867
187	21015	90767
188	21122	90635
189	21232	90516
190	21345	90410
191	21450	90270
192	21567	90179
193	21669	90028
194	21769	89867
195	21880	89752
196	21983	89609
197	22092	89487
198	22209	89395
199	22292	89171
200	22395	89024
201	22509	88923
202	22617	88797
