iter	RMSE
0	5.90980293
1	5.79358415
2	5.690765425
3	5.613834916
4	5.543573968
5	5.4819058
6	5.431565897
7	5.389246682
8	5.35385851
9	5.321364776
10	5.294171737
11	5.266276804
12	5.242246023
13	5.22296158
14	5.205202189
15	5.190821719
16	5.176993047
17	5.162487932
18	5.151402741
19	5.14108617
20	5.132274324
21	5.122113114
22	5.111005018
23	5.10396358
24	5.096068434
25	5.090285746
26	5.082846872
27	5.076788139
28	5.071484241
29	5.065495073
30	5.059017413
31	5.053790968
32	5.04852647
33	5.042815746
34	5.037434144
35	5.032109063
36	5.027181714
37	5.022295327
38	5.018804862
39	5.014507852
40	5.010196864
41	5.007131753
42	5.003874798
43	4.999826226
44	4.995788299
45	4.993327275
46	4.989482771
47	4.986319121
48	4.983700279
49	4.980991155
50	4.978611774
51	4.975567976
52	4.971021263
53	4.968069716
54	4.964973628
55	4.962245775
56	4.96023782
57	4.957964776
58	4.955926885
59	4.953440294
60	4.950976473
61	4.948849851
62	4.946424911
63	4.944024306
64	4.941713057
65	4.939612975
66	4.936977459
67	4.93535156
68	4.932400793
69	4.929796584
70	4.928140063
71	4.926732374
72	4.925578913
73	4.924278447
74	4.922461195
75	4.919420716
76	4.917223174
77	4.916855603
78	4.915147337
79	4.9129276
80	4.911748524
81	4.90995668
82	4.908251716
83	4.906807542
84	4.905332836
85	4.903416835
86	4.901972656
87	4.900002998
88	4.898306483
89	4.896692371
90	4.894527202
91	4.892465474
92	4.890971983
93	4.889111818
94	4.886582997
95	4.885286712
96	4.883586168
97	4.882020548
98	4.880769296
99	4.879097234
100	4.877198226
101	4.875358244
102	4.873632922
103	4.871559681
104	4.869671371
105	4.86805413
106	4.866520981
107	4.865268782
108	4.86416792
109	4.862247134
110	4.860337083
111	4.858298377
112	4.85661837
113	4.855227635
114	4.854058937
115	4.852812494
116	4.851572369
117	4.850451089
118	4.848927326
119	4.847827206
120	4.845796474
121	4.843015002
122	4.841542443
123	4.840596576
124	4.838978422
125	4.837362809
126	4.836403012
127	4.834323052
128	4.832764026
129	4.831124452
130	4.829956113
131	4.828296929
132	4.827310842
133	4.82616937
134	4.824537953
135	4.822938926
136	4.821510498
137	4.819887288
138	4.818414586
139	4.817496626
140	4.816175895
141	4.814430897
142	4.813381792
143	4.812116651
144	4.811044656
145	4.809952398
146	4.808913599
147	4.80667398
148	4.805215023
149	4.803420631
150	4.802426789
151	4.801032452
152	4.799424345
153	4.798286888
154	4.797246246
155	4.796372418
156	4.795155249
157	4.794034927
158	4.792420948
159	4.791468494
160	4.789956448
161	4.788744466
162	4.787622029
163	4.786720141
164	4.785681407
165	4.784665286
166	4.783290684
167	4.782196683
168	4.781894076
169	4.780349322
170	4.779238729
171	4.778099014
172	4.7773723
173	4.776719014
174	4.775228267
175	4.774577984
176	4.774314835
177	4.773023716
178	4.772048343
179	4.77142741
180	4.770607211
181	4.76946406
182	4.768806566
183	4.768250225
184	4.767369106
185	4.766729653
186	4.765986539
187	4.764827519
188	4.764027045
189	4.762407141
190	4.761550221
191	4.761055428
192	4.760064111
193	4.759379451
194	4.757934228
195	4.756947536
196	4.75618549
197	4.755874836
198	4.755109174
199	4.753934761
200	4.752525282
201	4.751732385
202	4.750772979
203	4.749608615
204	4.748695349
205	4.747590686
206	4.746581685
207	4.745068334
208	4.743762847
209	4.742773358
210	4.74174703
211	4.740981383
